Region,2017,2018,2019,2020,2021,2022,▼ 2023
Bosnia and Herzegovina,211.4,224.3,222.3,253.4,273.4,278.1,292.4
Azerbaijan,152.4,167.3,181.6,191.8,222.7,279.3,288.3
Seychelles,257.7,262.5,268.4,280.3,234.7,283.6,286.9
Mauritius,211.3,223.6,223.3,234.6,237.9,276.4,282.4
Guatemala,271.9,276.3,282.2,255.9,270.5,282.3,281.9
Jamaica,136.9,139.2,142.8,179.3,188.3,259.6,265.6
South Africa,215.1,230,223.3,225.1,262.8,229.8,232.7
Suriname,141,151.8,158,171.6,181.3,221.5,231.4
Libya,74.6,62.7,59.7,340.8,161.2,215.8,229.6
Nicaragua,104.2,105.6,105.6,142,146.5,227.8,224.8
Belarus,190.8,199.8,212.7,219.3,233,208.3,219.7
Samoa,154.3,158.5,161.6,177.4,172.1,213.7,214.2
Botswana,172.2,183,187,190.7,210,206.7,213.1
Mongolia,150.2,151.5,153.9,160.9,166.7,209,211.4
Cuba,25.2,26.2,27.3,90.4,93.7,204.1,211.1
Dominican Republic,162.3,161.9,162.7,162.1,170.9,199.3,206.6
Colombia,158,159.7,147.4,143.8,160.1,189.2,196.1
Gabon,138.8,156.1,158,166,179.8,193.5,187.7
Peru,147.7,149.5,150.1,155.3,150.2,180.5,185.7
Tonga,115.8,120.3,124,149.5,149.8,183.7,185.3
Ecuador,158.8,158.4,158.7,162.4,171.3,177.3,179.6
Fiji,110.6,117.4,122.3,134.9,136.4,172.7,179.1
Bolivia (Plurinational State of),154.6,159,162.9,172.5,170.3,174.4,176.6
Honduras,126.1,129.1,131.2,155.8,177.2,184.7,176.3
Thailand,147.8,159.7,173.7,187.4,181.9,166.6,175.6
Paraguay,167.1,169.8,161.8,164.8,176.2,173.7,175.4
Uzbekistan,94.7,74,92.4,104.8,116.7,163.7,171
Cabo Verde,96.9,107.3,109.3,133.1,147.1,168.7,171
Iran (Islamic Republic of),132.3,119,124.7,172.7,181.7,171,168.8
Algeria,121.4,131.2,136.5,138.8,139,167.4,166.9
Ukraine,111.5,123.7,147.6,162.4,181.6,149.6,166.3
Tunisia,145,141.8,139.1,132.4,144.6,161.3,165.6
Tuvalu,82.8,93,94.5,115.4,137.3,160.1,164
Lebanon,232.5,251.6,272.6,194.3,204.5,208.4,157.9
China,131.4,141,141.7,169.4,191,149.7,148.3
Jordan,142.3,140.1,138.4,149.5,150.7,146.2,147.9
Namibia,140.3,154.9,156,150.9,165.1,140.2,142.4
Maldives,120.7,122.2,126.1,124.5,128.6,137.8,142.1
Iraq,82.8,91.4,97.9,105.2,98,145.9,140.7
Malaysia,125.6,137.3,136.3,147,149.5,138.3,140.5
Morocco,101.1,110,112.5,123.9,134,136.5,136.7
Kyrgyzstan,70.3,73.9,75.9,89.2,92.1,125.1,134.6
Philippines,93.8,102.9,108,131.9,134.5,123.2,125.1
Equatorial Guinea,94.6,98.2,94.8,102.2,110.7,118.6,119.5
Venezuela (Bolivarian Republic of),101.9,25.3,35.6,59.9,59.5,116.7,119.5
Viet Nam,93.3,98.8,103.8,114,119.2,119.1,118.9
Vanuatu,62.1,66.6,66.1,75.6,74.9,107.7,105.3
Indonesia,76.1,73.9,77.9,82.9,88.3,90,90
Haiti,45.1,50.1,48.9,58.6,89.2,91,88.4
Sao Tome and Principe,45.4,53.3,55.3,61.2,71.2,91,87.1
Djibouti,60,64.1,66.9,74.9,77.4,81,83.3
Syrian Arab Republic,88.8,86.3,78.8,89.7,80.6,82.3,82.9
Tajikistan,43.5,44.6,46.9,56.2,57.5,75.1,82
Kiribati,39.9,42.6,42,47.6,53.7,78.2,77.9
Eswatini,64.9,70.4,70,72.1,81.4,73.7,75.9
Zimbabwe,31.6,34.2,60.7,55.5,64.9,65.4,67.4
Ghana,67.3,73.5,74.6,72.5,77.3,65.9,66.5
Bhutan,42.3,44.4,47.2,56.9,57.9,63.9,65.4
Cambodia,36.7,40.6,44,43.3,43.8,64.7,65.1
Egypt,51.8,55.8,63.7,85.3,89,63.4,61.1
Sudan,54.6,50.3,44.5,46.8,50,52.8,60.5
Papua New Guinea,32.8,33.2,33.7,41.9,40.7,58.8,58.9
Solomon Islands,36.8,38.1,37.8,44.6,44.5,57.2,57.3
Eritrea,39.9,41.7,42.4,44.2,44.8,45.3,46.2
Senegal,43.3,49.1,49.6,45.4,49.3,44.7,44.6
Mauritania,34.2,36.1,37.2,40.5,40.8,44.1,43.8
Lao People's Democratic Republic,45.8,48.3,50.3,56.9,53.2,48.5,42.9
Togo,27.8,30.6,30.6,34.5,37.4,43.6,42.7
Congo,36.1,39.5,40.4,402.6,413.2,41.9,41.3
Lesotho,30.9,34.5,34.5,34.8,38.2,38.9,40.4
Democratic People's Republic of Korea,32.3,31.7,32.3,42.6,42.3,37.1,38.3
Myanmar,25.6,26.9,28,33.9,30.3,38.4,38.1
Gambia,23.4,24.8,26,31.2,32.6,38.8,37.9
Comoros,21.4,23.5,23.6,31.9,33.4,39,37.8
Burkina Faso,26.6,29.9,30.2,31.4,34,37.8,37.2
Kenya,29.9,34.1,37,39.4,41.5,35.8,36.8
Guinea,23.6,25.5,26.6,32.8,33.4,37.1,36.6
Mali,24.9,27.8,27.9,30.8,33.3,35.6,34.7
Zambia,28,27.2,26.2,25.2,24.1,32.6,34.6
Sri Lanka,40.2,40.3,37.1,39.4,41,33.1,34.3
United Republic of Tanzania,34.4,36.5,39.1,33.1,34,32.5,34.1
Cameroon,42.9,47.6,48,34.9,36.9,32.7,32.9
Benin,22,24.6,24.8,28,30.2,33.1,32.5
Guinea-Bissau,22.8,25.3,25.2,28.8,30.9,33,32.2
Liberia,21.1,21,21.2,27.1,28.7,32.3,32
Sierra Leone,20.4,20.5,21,28.5,29.1,30.3,30.8
Democratic Republic of the Congo,18.8,20.1,21.4,2.5,2.6,28.2,29.3
Rwanda,19.1,19.6,20.5,28.9,27.9,28.8,29.3
Angola,50.7,42.1,35.6,25.3,27.2,27.9,28.6
Mozambique,9.5,10.5,11,25.1,24.2,26.8,27.2
Central African Republic,19.5,21.7,22.3,25.5,27.3,27.2,26.7
Madagascar,15.1,15.9,16.4,22.1,22.1,26.4,26.3
Côte d’Ivoire,23.6,26.1,26.1,27.9,29.5,25,25.9
Somalia,14.1,14.5,15.2,22.1,22.2,26.1,25.8
Niger,16.3,18.4,18.5,21.7,23.2,26.1,25.5
Afghanistan,21.8,21.8,21.4,20.9,21.5,25.1,25.2
Nepal,16.7,17.9,19.1,21.3,22.4,23.6,25
India,16.8,18,19.5,22.4,24.7,22.8,23.9
Malawi,13.4,14.6,15.8,24.5,25.4,24.3,23.8
Uganda,9.9,10.3,11.3,20.1,21.6,22.2,23.2
Chad,17.2,18.9,19.1,22,22.9,23.4,22
Yemen,11.5,10.4,11.1,13.8,17,20.5,21.3
Pakistan,19.2,18.2,16.3,20.2,22.8,20.8,21.3
South Sudan,15,20.8,16.9,32.3,25.6,17.8,20.8
Burundi,11.8,12.3,13,19.5,20,18.8,19.7
Ethiopia,20.1,20.1,21.7,13.9,12.5,17.5,18.2
Nigeria,27.4,27.4,29.8,29.2,32.1,16.2,17.1
Bangladesh,13.4,14.5,16,15.7,18.2,17.3,17.1
